name,website,term,count,time,term_snippets
fredmeyer,https://www.fredmeyerjewelers.com/,NaN,NaN,2020-09-05T01:13:01,NaN
fredmeyer,https://www.fredmeyerjewelers.com/,covid,1,2020-09-05T01:13:01, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful 
fredmeyer,https://www.fredmeyerjewelers.com/,covid-19,1,2020-09-05T01:13:01, --sep-- --sep-- --sep--covid-19: we are available to serve you at all store locations and online. --sep--view helpful faqs--sep-- 
fredmeyer,https://www.fredmeyerjewelers.com/,customer,1,2020-09-05T01:13:01,
kroger,https://www.kroger.com/d/flu,NaN,NaN,2020-09-03T21:24:11,NaN
kroger,https://www.kroger.com/d/flu,vaccine,17,2020-09-03T21:24:11," safety is our priority--sep-- it's more important than ever to make sure you're up to date on your vaccines. easily schedule your appointment online. --sep--to make a vaccine appointment at the little 
 illness and, at times, can even lead to death. the best way to prevent the flu is by getting a flu vaccine each year.--sep--why is getting a flu vaccine important?--sep--older people, young children and 
 symptoms and risk for complications. this flu season, it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, 
 thereby helping conserve potentially scarce healthcare resources.--sep--who should get the flu vaccine?--sep--people age 6 months and older are eligible to receive an annual seasonal flu vaccine, with 
 include those with allergies. talk to your licensed healthcare provider to learn which type of flu vaccine is right for you.--sep--how often should i get the flu vaccine?--sep--getting the seasonal flu 
 it to others. september and october are ideal months to get your flu shot.--sep--what types of flu vaccines are available?--sep--the cdc recommends injectable influenza vaccines. there is no preference for 
 flu vaccine over another as long as the vaccine is licensed and age appropriate.--sep--can i get the flu from a flu shot?--sep--no. the flu shot 
 inactivated virus, so you cannot get the flu from the vaccine.--sep--explore other vaccines--sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep--keep on exploring "
kroger,https://www.kroger.com/d/flu,guidance,1,2020-09-03T21:24:11," see pharmacy for details. --sep--the following frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, "
kroger,https://www.kroger.com/d/flu,health,7,2020-09-03T21:24:11," and electronics--sep--cleaning and household--sep--health and wellness--sep--vitamins and supplements--sep--personal 
 meyer jewelers--sep--savings--sep--planning--sep--our brands--sep--discover--sep--pharmacy and health--sep--payments and services--sep--search--sep--clear--sep--ship to--sep-- --sep--95050--sep-- 
 the wide range of vaccinations we offer, conveniently available at a pharmacy near you.--sep--your health & safety is our priority--sep-- it's more important than ever to make sure you're up to date on 
 is getting a flu vaccine important?--sep--older people, young children and people with certain health conditions are at higher risk for serious flu complications. if you do get the flu, being 
 the risk of flu illness, hospitalization and death, thereby helping conserve potentially scarce healthcare resources.--sep--who should get the flu vaccine?--sep--people age 6 months and older are 
 seasonal flu vaccine, with rare exceptions that include those with allergies. talk to your licensed healthcare provider to learn which type of flu vaccine is right for you.--sep--how often should i get the 
 --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep-- --sep--keep on exploring health & wellness--sep-- --sep--about the company--sep--about the company--sep--advertise with "
kroger,https://www.kroger.com/d/flu,safety,1,2020-09-03T21:24:11," range of vaccinations we offer, conveniently available at a pharmacy near you.--sep--your health & safety is our priority--sep-- it's more important than ever to make sure you're up to date on your "
kroger,https://www.kroger.com/d/flu,mask,1,2020-09-03T21:24:11," cards--sep--sign in--sep--popular--sep--digital coupons--sep--weekly ad--sep--labor day--sep--face masks, sanitizers & more--sep--my prescriptions--sep--departments--sep--school essentials--sep--summer "
kroger,https://www.kroger.com/d/flu,covid,1,2020-09-03T21:24:11," it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, hospitalization and death, thereby helping conserve "
kroger,https://www.kroger.com/d/flu,covid-19,1,2020-09-03T21:24:11," it is more important than ever to get a flu vaccine. the flu vaccine will not protect against covid-19, but it will reduce the risk of flu illness, hospitalization and death, thereby helping conserve "
kroger,https://www.kroger.com/d/flu,higher risk,1,2020-09-03T21:24:11," important?--sep--older people, young children and people with certain health conditions are at higher risk for serious flu complications. if you do get the flu, being vaccinated may help reduce the severity "
kroger,https://www.kroger.com/d/flu,cdc,2,2020-09-03T21:24:11," questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, better known simply as the flu, is a contagious 
 are ideal months to get your flu shot.--sep--what types of flu vaccines are available?--sep--the cdc recommends injectable influenza vaccines. there is no preference for one flu vaccine over another "
kroger,https://www.kroger.com/d/flu,centers for disease control,1,2020-09-03T21:24:11," details. --sep--the following frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, better known simply as the flu, is a "
kroger,https://www.kroger.com/d/flu,following guidance,1,2020-09-03T21:24:11," may apply. see pharmacy for details. --sep--the following frequently asked questions were created following guidance from the centers for disease control and prevention (cdc).--sep--what is the flu?--sep--influenza, "
